	RealEstateProjectID	HouseID	ProjectName	HouseUseType	FloorName	MeasuredBuildingArea	MeasuredInternalBuildingArea	MeasuredSharedPublicArea	LandUse	TotalBuildingArea	FloorArea	DistrictName	RegionName	Decoration	PropertyRightsDesc	ParkingSpaceAmount	HousingCount	ParkingSpaceAmount.1	ManagementFees	GreeningRate	FloorAreaRatio	ClassifyResult
1028	9227ef25-825c-31e1-8140-55e189440c0a	f4962eb7-4ca0-3480-9cde-0309adf1c4ee	泉盛美家	住宅	12	120.92	89.56	31.36	住宅		667740.0	泉山区	西区	无			7177.0					3
1029	615f70de-7fbd-3e4b-89c2-a1d6011b345b	dea8d814-7734-34b1-81f0-99325a43f967	保利鑫城	住宅	13	90.92	66.9	24.02	住宅		2333836.91	泉山区	西区	无			5166.0					3
1030	140154c9-c29f-3980-b108-5226cb061b50	383d9a74-83fd-3552-acd8-0aa0e475a722	观澜悦居	住宅	29	133.1	105.7	27.4	住宅		59533.58	泉山区	西区	无			447.0					3
1031	0c6048fa-76b9-3335-995a-fe912b8d251f	ed0221c3-8b28-3cfd-a35f-db114b4a7cc8	泉盛美家	住宅	17	110.58	83.19	27.39	住宅		1775645.08	铜山区	南区	无			5329.0					3
1032	1deeb76e-8023-3e1a-aa37-8dc681977744	bdf64cf2-6da7-3d7a-9fdf-8f048c9c5a37	中锐星尚城	住宅	33	98.74	74.13	24.61	住宅	510144.0	4699172.6	云龙区	东区	毛坯	待定	3612.0	5796.0	3612个	1.5	30.0	2.2	3
1033	5fb83758-649d-3c6a-992a-54d8de15f005	7492ae24-1ce2-321d-9820-3d87b6b1765f	君临华府	住宅	17	124.88	98.94	25.94	住宅		1730864.7	邳州市		无			2536.0					3
1034	1095cb01-c351-3e2f-92a8-8d79bdcba4b0	b575f19a-a9cb-3bd9-b67e-11f4d71ee723	上城国际	住宅	24	102.82	77.54	25.29	住宅		450628.04	铜山区	北区	无			1863.0					3
1035	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	4644b5e3-0dd5-3162-b9ae-08878c5d1fae	观澜悦居	住宅	10	113.73	90.35	23.38	住宅		530238.0	泉山区	西区	无			2321.0					3
1036	140154c9-c29f-3980-b108-5226cb061b50	b81067d6-245a-3dd9-aeb6-8f229d4f2fa8	观澜悦居	住宅	21	133.1	105.7	27.4	住宅		59533.58	泉山区	西区	无			447.0					3
1037	b1828b03-0af2-3443-879e-7ab62bf4e4b0	db0d4b7f-267d-3e45-a555-7cba869a59b0	奥都花园东区	住宅	13	119.05	96.75	22.3	住宅		111726.0	云龙区	东区	无			1566.0					3
1038	9227ef25-825c-31e1-8140-55e189440c0a	3b31c8c2-6331-3aec-baa5-b2e8fbb88967	泉盛美家	住宅	17	130.39	96.57	33.82	住宅		667740.0	泉山区	西区	无			7177.0					3
1039	5fb83758-649d-3c6a-992a-54d8de15f005	5d71b334-4fc2-3caf-824a-9ca056af0d11	君临华府	住宅	21	106.92	85.2	21.72	住宅		1730864.7	邳州市		无			2536.0					3
1040	f3929bad-0735-363a-b5cd-5a3bd204bc93	cfacb4f7-291a-3188-8365-58c48a9d06f5	高铁东南城（2013-31号地块）	住宅	10	104.79	82.48	22.31	住宅		141531.2	经济开发区	东区	无			772.0					3
1041	5fb83758-649d-3c6a-992a-54d8de15f005	1752b7e6-c87d-30c9-ae12-be7a04440fbc	君临华府	住宅	26	128.02	102.02	26.0	住宅		1730864.7	邳州市		无			2536.0					3
1042	cf9a7e2f-db67-3539-9436-2788993540ae	9986dbf2-37e3-35da-acf5-e0cb30b3cb59	宏利达·银河湾三期	住宅	14	91.39	72.25	19.14	住宅		4002788.5	邳州市		无			3243.0					3
1043	08bbb349-cd71-3fc0-bb69-9a4b51202694	26d73623-6fe9-3ea2-b212-99a586505249	东方名郡二期	住宅	22	120.79	91.67	29.12	住宅		167597.2	邳州市		无			1101.0					3
1044	140154c9-c29f-3980-b108-5226cb061b50	bd3efd1d-a3a1-3b69-9f91-3e7ea23336ad	观澜悦居	住宅	15	113.76	90.35	23.42	住宅		59533.58	泉山区	西区	无			447.0					3
1045	0f67dba6-f88e-301b-977c-0746e2f57365	dc886403-a4d1-38b4-874f-415a9b1c48af	观澜悦居	住宅	22	133.1	105.7	27.4	住宅		554388.0	铜山区	南区	无			2889.0					3
1046	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	35fdfc35-2fb9-3208-b204-2ca0fb4aeba4	观澜悦居	住宅	9	104.14	75.86	28.28	住宅		530238.0	泉山区	西区	无			2321.0					3
1047	9227ef25-825c-31e1-8140-55e189440c0a	d86fdf78-5b72-301b-b54c-1b40b6601e5f	泉盛美家	住宅	18	110.29	83.19	27.1	住宅		667740.0	泉山区	西区	无			7177.0					3
1048	0c6048fa-76b9-3335-995a-fe912b8d251f	8e1d2164-6d6c-37ef-baa1-5adfaf9448c5	泉盛美家	住宅	20	110.5	83.19	27.31	住宅		1775645.08	铜山区	南区	无			5329.0					3
1049	0f67dba6-f88e-301b-977c-0746e2f57365	5dbb281a-b235-32f6-bc8b-3d7a6d2d6c2e	观澜悦居	住宅	16	104.14	75.86	28.28	住宅		554388.0	铜山区	南区	无			2889.0					3
1050	64dbeaa6-a0e9-3e30-a1e8-54ac579c72f9	ec606743-b0b8-3a67-97b2-818c8170454b	盛和·翰林华府二期	住宅	15	114.25	94.74	19.5	住宅		146537.18	丰县		无			1674.0					3
1051	85ddf969-e800-3ca3-90de-272fd87c4190	15b90a1d-616f-3533-a0f4-8300cee4605b	美润园	住宅	26	116.33	87.87	28.46	住宅		917692.8	泉山区	西区	无			2413.0					3
1052	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	ece7ef31-f023-3c4b-879d-07c9136f6a2b	观澜悦居	住宅	24	102.86	74.98	27.88	住宅		530238.0	泉山区	西区	无			2321.0					3
1053	9227ef25-825c-31e1-8140-55e189440c0a	7e58314a-d6c1-36e4-806e-55b8ba702cfb	泉盛美家	住宅	31	100.16	74.95	25.21	住宅		667740.0	泉山区	西区	无			7177.0					3
1054	9227ef25-825c-31e1-8140-55e189440c0a	43e3896d-6e9a-3304-af24-1471d3576672	泉盛美家	住宅	9	99.13	73.77	25.37	住宅		667740.0	泉山区	西区	无			7177.0					3
1055	3b98990d-c69c-3204-a3cf-07ab68b71d27	60040042-a3e6-31f4-a410-73c35d99667b	宝龙观邸	住宅	11	113.3	86.43	26.87	住宅		2171094.0	铜山区	南区	无			729.0					3
1056	937da538-6a85-3c44-b11c-4eda7163354a	6a0b7fa3-9fcf-3f2b-bae5-6e1d27a2dae2	科倍尚城	住宅	9	123.62	95.25	28.37	住宅		164995.05	新沂市		无			347.0					3
1057	64dbeaa6-a0e9-3e30-a1e8-54ac579c72f9	c60ce96b-644a-364e-b0a0-83186b832640	盛和·翰林华府二期	住宅	14	106.52	88.33	18.19	住宅		146537.18	丰县		无			1674.0					3
1058	9227ef25-825c-31e1-8140-55e189440c0a	5304ff85-5a08-3033-a530-d5b0e6b2cdc8	泉盛美家	住宅	12	140.84	106.03	34.81	住宅		667740.0	泉山区	西区	无			7177.0					3
1059	9227ef25-825c-31e1-8140-55e189440c0a	3b48ea4b-c008-3124-a527-89f09806dfc9	泉盛美家	住宅	30	120.92	89.56	31.36	住宅		667740.0	泉山区	西区	无			7177.0					3
1060	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	81834d2a-b2e0-3595-b6fc-56c1a44d1047	观澜悦居	住宅	29	113.76	90.35	23.42	住宅		530238.0	泉山区	西区	无			2321.0					3
1061	040d80b7-a734-316a-bb00-c8404139b723	e892e765-f843-3e1a-8084-57ec684abd35	鑫苑景城	住宅	18	88.17	66.72	21.45	住宅		359769.0	泉山区	西区	无			764.0					3
